"location","day_of_year","year_offset","variable","value","unit","source"
"{""lat"":30,""lon"":40}",150,-1,"temperature","320.4060","K","GES_DISC_Dataset_XYZ"
"{""lat"":30,""lon"":40}",150,-2,"temperature","309.4393","K","GES_DISC_Dataset_XYZ"
"{""lat"":30,""lon"":40}",150,-3,"temperature","308.4071","K","GES_DISC_Dataset_XYZ"
"{""lat"":30,""lon"":40}",150,-4,"temperature","285.1288","K","GES_DISC_Dataset_XYZ"
"{""lat"":30,""lon"":40}",150,-5,"temperature","314.3242","K","GES_DISC_Dataset_XYZ"
"{""lat"":30,""lon"":40}",150,-6,"temperature","321.5447","K","GES_DISC_Dataset_XYZ"
"{""lat"":30,""lon"":40}",150,-7,"temperature","304.2702","K","GES_DISC_Dataset_XYZ"
"{""lat"":30,""lon"":40}",150,-8,"temperature","290.4867","K","GES_DISC_Dataset_XYZ"
"{""lat"":30,""lon"":40}",150,-9,"temperature","310.7453","K","GES_DISC_Dataset_XYZ"
"{""lat"":30,""lon"":40}",150,-10,"temperature","279.5272","K","GES_DISC_Dataset_XYZ"
"{""lat"":30,""lon"":40}",150,-1,"precipitation","9.0579","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":30,""lon"":40}",150,-2,"precipitation","8.8940","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":30,""lon"":40}",150,-3,"precipitation","1.6341","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":30,""lon"":40}",150,-4,"precipitation","3.7043","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":30,""lon"":40}",150,-5,"precipitation","0.8573","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":30,""lon"":40}",150,-6,"precipitation","2.1742","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":30,""lon"":40}",150,-7,"precipitation","3.3040","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":30,""lon"":40}",150,-8,"precipitation","2.2586","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":30,""lon"":40}",150,-9,"precipitation","2.7959","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":30,""lon"":40}",150,-10,"precipitation","4.5530","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":30,""lon"":40}",150,-1,"windspeed","2.2754","m/s","Worldview_Dataset_ABC"
"{""lat"":30,""lon"":40}",150,-2,"windspeed","7.9957","m/s","Worldview_Dataset_ABC"
