"location","day_of_year","year_offset","variable","value","unit","source"
"{""lat"":28.4089,""lon"":77.3178}",288,-1,"temperature","313.9555","K","GES_DISC_Dataset_XYZ"
"{""lat"":28.4089,""lon"":77.3178}",288,-2,"temperature","300.9691","K","GES_DISC_Dataset_XYZ"
"{""lat"":28.4089,""lon"":77.3178}",288,-3,"temperature","286.3031","K","GES_DISC_Dataset_XYZ"
"{""lat"":28.4089,""lon"":77.3178}",288,-4,"temperature","284.3449","K","GES_DISC_Dataset_XYZ"
"{""lat"":28.4089,""lon"":77.3178}",288,-5,"temperature","275.3688","K","GES_DISC_Dataset_XYZ"
"{""lat"":28.4089,""lon"":77.3178}",288,-6,"temperature","290.9174","K","GES_DISC_Dataset_XYZ"
"{""lat"":28.4089,""lon"":77.3178}",288,-7,"temperature","319.5726","K","GES_DISC_Dataset_XYZ"
"{""lat"":28.4089,""lon"":77.3178}",288,-8,"temperature","295.4208","K","GES_DISC_Dataset_XYZ"
"{""lat"":28.4089,""lon"":77.3178}",288,-9,"temperature","284.4891","K","GES_DISC_Dataset_XYZ"
"{""lat"":28.4089,""lon"":77.3178}",288,-10,"temperature","316.4320","K","GES_DISC_Dataset_XYZ"
"{""lat"":28.4089,""lon"":77.3178}",288,-1,"precipitation","6.5318","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-2,"precipitation","1.2603","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-3,"precipitation","5.3068","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-4,"precipitation","3.1019","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-5,"precipitation","9.4782","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-6,"precipitation","8.7968","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-7,"precipitation","5.7952","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-8,"precipitation","1.1395","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-9,"precipitation","8.7781","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-10,"precipitation","2.9151","mm/hr","Giovanni_TRMM_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-1,"windspeed","3.7021","m/s","Worldview_Dataset_ABC"
"{""lat"":28.4089,""lon"":77.3178}",288,-2,"windspeed","6.1676","m/s","Worldview_Dataset_ABC"
"{""lat"":28.4089,""lon"":77.3178}",288,-3,"windspeed","8.7949","m/s","Worldview_Dataset_ABC"
"{""lat"":28.4089,""lon"":77.3178}",288,-4,"windspeed","0.9841","m/s","Worldview_Dataset_ABC"
"{""lat"":28.4089,""lon"":77.3178}",288,-5,"windspeed","3.2049","m/s","Worldview_Dataset_ABC"
"{""lat"":28.4089,""lon"":77.3178}",288,-6,"windspeed","5.0460","m/s","Worldview_Dataset_ABC"
"{""lat"":28.4089,""lon"":77.3178}",288,-7,"windspeed","4.0483","m/s","Worldview_Dataset_ABC"
"{""lat"":28.4089,""lon"":77.3178}",288,-8,"windspeed","4.3011","m/s","Worldview_Dataset_ABC"
"{""lat"":28.4089,""lon"":77.3178}",288,-9,"windspeed","6.1241","m/s","Worldview_Dataset_ABC"
"{""lat"":28.4089,""lon"":77.3178}",288,-10,"windspeed","6.0152","m/s","Worldview_Dataset_ABC"
"{""lat"":28.4089,""lon"":77.3178}",288,-1,"relative_humidity","40.3433","%","MODIS_Atmosphere_Data"
"{""lat"":28.4089,""lon"":77.3178}",288,-2,"relative_humidity","58.9660","%","MODIS_Atmosphere_Data"
"{""lat"":28.4089,""lon"":77.3178}",288,-3,"relative_humidity","47.3910","%","MODIS_Atmosphere_Data"
"{""lat"":28.4089,""lon"":77.3178}",288,-4,"relative_humidity","64.1546","%","MODIS_Atmosphere_Data"
"{""lat"":28.4089,""lon"":77.3178}",288,-5,"relative_humidity","38.9039","%","MODIS_Atmosphere_Data"
"{""lat"":28.4089,""lon"":77.3178}",288,-6,"relative_humidity","39.9938","%","MODIS_Atmosphere_Data"
"{""lat"":28.4089,""lon"":77.3178}",288,-7,"relative_humidity","63.7054","%","MODIS_Atmosphere_Data"
"{""lat"":28.4089,""lon"":77.3178}",288,-8,"relative_humidity","71.5106","%","MODIS_Atmosphere_Data"
"{""lat"":28.4089,""lon"":77.3178}",288,-9,"relative_humidity","31.2745","%","MODIS_Atmosphere_Data"
"{""lat"":28.4089,""lon"":77.3178}",288,-10,"relative_humidity","64.7562","%","MODIS_Atmosphere_Data"
"{""lat"":28.4089,""lon"":77.3178}",288,-1,"solar_insolation","517.1210","W/m^2","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-2,"solar_insolation","229.9550","W/m^2","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-3,"solar_insolation","295.8671","W/m^2","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-4,"solar_insolation","266.6068","W/m^2","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-5,"solar_insolation","638.9342","W/m^2","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-6,"solar_insolation","430.0581","W/m^2","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-7,"solar_insolation","476.0823","W/m^2","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-8,"solar_insolation","557.3868","W/m^2","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-9,"solar_insolation","688.7009","W/m^2","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-10,"solar_insolation","513.5525","W/m^2","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-1,"solar_radiation","0.4459","unitless","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-2,"solar_radiation","0.5293","unitless","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-3,"solar_radiation","0.3543","unitless","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-4,"solar_radiation","0.3892","unitless","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-5,"solar_radiation","0.6548","unitless","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-6,"solar_radiation","0.4124","unitless","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-7,"solar_radiation","0.3576","unitless","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-8,"solar_radiation","0.7119","unitless","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-9,"solar_radiation","0.5261","unitless","CERES_SYN_Dataset"
"{""lat"":28.4089,""lon"":77.3178}",288,-10,"solar_radiation","0.4522","unitless","CERES_SYN_Dataset"
